id_demandeur,nom,age,ville,domaine,titre_professionnel,niveau_etudes,annees_experience,competences,soft_skills,langues,cv_texte
PPKOU2501080016340,PPKOU2501080016340,24,Kouilou,"Transport, Logistique & Supply Chain",Agent de transit,BEPC,0,supply chain;transit,,français,"Métier visé : Agent de transit. Qualification : agent de transit. Agent Logistique. Filière : Transport, logistique et transit. Secteur métier : Transport, Logistique & Supply Chain. Secteur d'activité : Transit - Transport et Logistique - Génie Logistique. Diplôme : Brevet d'Études du Premier Cycle (BEPC)."
PPNIA2501180017611,PPNIA2501180017611,27,Niari,Parcours Étudiant et Formation,Etudiant(e),Licence (BAC+3),0,,,français,Métier visé : Etudiant(e). Qualification : etudiant(e). Etudiant. Filière : Banque et Finance. Secteur recherché : Finance. Secteur métier : Parcours Étudiant et Formation. Diplôme : Licence.
PPLEK2501210017791,PPLEK2501210017791,27,Lékoumou,"Commerce, Vente, Marketing & Distribution",vendeur/vendeuse en pharmacie.,BAC+2 (BTS/DUT),0,pharmacie;vente,,français,"Métier visé : vendeur/vendeuse en pharmacie.. Qualification : vendeur/vendeuse en pharmacie.. Vente Spécialisée - Pharmacie. Filière : Vente en pharmacie. Secteur métier : Commerce, Vente, Marketing & Distribution. Secteur d'activité : Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client . Diplôme : CAP/BEP."
PPBOU2501100016705,PPBOU2501100016705,26,Bouenza,"Conseil, Stratégie & Gestion des Ressources Humaines",Assistante Ressources Humaines,Licence (BAC+3),0,gestion des ressources humaines;vente,,français,"Métier visé : Assistante Ressources Humaines. Qualification : assistante ressources humaines. Assistant en Ressources Humaines. Filière : Gestion des Ressources Humaines. Secteur recherché : Agriculture - Agroalimentaire - Brasserie - Produits laitiers - Boulangerie. Secteur métier : Conseil, Stratégie & Gestion des Ressources Humaines. Secteur d'activité : Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client . Diplôme : Licence."
PPBOU2501170017448,PPBOU2501170017448,38,Bouenza,"Industrie, Production & Maintenance",Ingénieur Mécanique,Master (BAC+5),0,,,français,"Métier visé : Ingénieur Mécanique. Qualification : ingénieur mécanique. Ingenieur Mecanique. Filière : Génie Mécanique. Secteur métier : Industrie, Production & Maintenance. Secteur d'activité : Machines et équipements / Automobile. Diplôme : Master."
PPPNR2501180017592,PPPNR2501180017592,28,Pointe-Noire,"Industrie, Production & Maintenance",ElectroTechnicien,Licence (BAC+3),0,électromécanique,,français,"Métier visé : ElectroTechnicien. Qualification : electrotechnicien. Technicien en Électrotechnique. Filière : Génie Électrique. Secteur recherché : Electricité-Electricité Industrielle-Electromécanique-Electrotechnique. Secteur métier : Industrie, Production & Maintenance. Diplôme : Licence Professionnelle ."
PPBOU2501110016712,PPBOU2501110016712,33,Bouenza,"Assurance Qualité, Contrôle, Testing (QHSE)",Assistant  HSE,Master (BAC+5),0,hse;qhse,,français,"Métier visé : Assistant  HSE. Qualification : assistant  hse. Assistant HSE. Filière : Génie des procédés industriels. Secteur métier : Assurance Qualité, Contrôle, Testing (QHSE). Secteur d'activité : Environnement - Hygiène-Qualité - Sécurité - Extraction, Production et commercialisation d'eau - Collecte des déchets. Diplôme : Master."
PPBOU2501140017103,PPBOU2501140017103,34,Bouenza,"Transport, Logistique & Supply Chain",Logisticien,Licence (BAC+3),0,supply chain;vente,,français,"Métier visé : Logisticien. Qualification : logisticien. Logisticien. Filière : Logistique et Supply Chain Management. Secteur métier : Transport, Logistique & Supply Chain. Secteur d'activité : Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client . Diplôme : Licence."
PPPOO2501130016908,PPPOO2501130016908,32,Pool,"Bâtiment, Travaux Publics & Aménagement du Territoire",Manœuvre,BEPC,0,vente,,français,"Métier visé : Manœuvre. Qualification : manœuvre. Manœuvre. Filière : Aucune. Secteur métier : Bâtiment, Travaux Publics & Aménagement du Territoire. Secteur d'activité : Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client . Diplôme : Brevet d'Études du Premier Cycle (BEPC)."
PPPOO2501280018650,PPPOO2501280018650,48,Pool,Artisanat et Métiers d'Art,Coiffeur ,Sans diplôme,0,,,français,Métier visé : Coiffeur . Qualification : coiffeur . Coiffeur. Filière : Aucune. Secteur métier : Artisanat et Métiers d'Art. Secteur d'activité : Artisanat. Diplôme : Certificat d'Études Primaires Élémentaires (CEPE).
PPPOO2501240018325,PPPOO2501240018325,25,Pool,Droit et Justice,droit privé ,Licence (BAC+3),0,,,français,Métier visé : droit privé . Qualification : droit privé . Juriste Droit Prive. Filière : Droit privé. Secteur métier : Droit et Justice. Secteur d'activité : Droit et Justice. Diplôme : Licence.
PPBZV2501280018593,PPBZV2501280018593,24,Brazzaville,"Conseil, Stratégie & Gestion des Ressources Humaines",Administration et des Ressources Humaines,Licence (BAC+3),0,gestion des ressources humaines,,français,"Métier visé : Administration et des Ressources Humaines. Qualification : administration et des ressources humaines. Assistant en Ressources Humaines. Filière : Aucune. Secteur métier : Conseil, Stratégie & Gestion des Ressources Humaines. Secteur d'activité : Administration et Gestion - Fonction Publique - Ressources Humaines - Recrutement - Société d'intérim. Diplôme : Pas de diplôme."
PPPNR2501190017629,PPPNR2501190017629,29,Pointe-Noire,"Conseil, Stratégie & Gestion des Ressources Humaines",Gestionnaire des ressources humaines ,Master (BAC+5),0,gestion des ressources humaines,,français,"Métier visé : Gestionnaire des ressources humaines . Qualification : gestionnaire des ressources humaines . Gestionnaire de Ressources Humaines. Filière : Aucune. Secteur métier : Conseil, Stratégie & Gestion des Ressources Humaines. Secteur d'activité : Administration et Gestion - Fonction Publique - Ressources Humaines - Recrutement - Société d'intérim. Diplôme : Pas de diplôme."
PPAUT2501160017370,PPAUT2501160017370,37,,"Industrie, Production & Maintenance",ElectroTechnicien,BAC,0,,,français,"Métier visé : ElectroTechnicien. Qualification : electrotechnicien. Technicien en Électrotechnique. Filière : Bac F3. Secteur métier : Industrie, Production & Maintenance. Diplôme : BAC Technique."
PPPOO2501230018134,PPPOO2501230018134,34,Pool,"Transport, Logistique & Supply Chain",Chauffeur et Conducteur,Licence (BAC+3),0,supply chain,,français,"Métier visé : Chauffeur et Conducteur. Qualification : chauffeur et conducteur. Chauffeur. Filière : Géosciences. Secteur métier : Transport, Logistique & Supply Chain. Diplôme : Licence."
