id_demandeur,id_offre1,id_offre2,id_offre3
PPKOU2501080016340,JOB250000904,JOB250001440,JOB250001694
PPNIA2501180017611,JOB260003638,JOB260003505,JOB260003639
PPLEK2501210017791,JOB250000941,JOB250002151,JOB250002075
PPBOU2501100016705,JOB250001885,JOB250001835,JOB250002378
PPBOU2501170017448,JOB250000852,JOB250001283,JOB250002186
PPPNR2501180017592,NONREF000130,JOB250002595,NONREF000113
PPBOU2501110016712,JOB250000874,NONREF000152,JOB250000926
PPBOU2501140017103,JOB250002312,JOB250001306,JOB250001952
PPPOO2501130016908,JOB250001330,JOB250001331,JOB250001549
PPPOO2501280018650,JOB250001754,JOB250001751,JOB250002774
PPPOO2501240018325,JOB250002774,JOB250001263,JOB250002162
PPBZV2501280018593,JOB250001885,JOB250001835,JOB250001602
PPPNR2501190017629,JOB250001885,JOB250001835,JOB250001236
PPAUT2501160017370,NONREF000130,JOB250002595,NONREF000113
PPPOO2501230018134,JOB250001296,JOB250002536,JOB250002287
PPPOO2501230018139,JOB250002497,JOB250001042,JOB250002053
PPPOO2501310019001,JOB250002381,JOB250002319,JOB250002121
PPPOO2501310019037,NONREF000038,JOB250001197,NONREF000236
PPPLA2501270018500,NONREF000130,JOB250002595,NONREF000113
PPCUV2501160017297,JOB250001556,NONREF000191,JOB250002635
PPCUV2501160017318,JOB250001556,JOB250002635,NONREF000191
PPCUV2501160017335,JOB250001556,NONREF000191,JOB250002635
PPLIK2501030015771,NONREF000402,JOB250001218,JOB250002655
PPLIK2501090016474,JOB250001330,JOB250001331,JOB250001161
PPLIK2501090016518,JOB250001330,JOB250001331,JOB250001161
PPLIK2501170017451,JOB250002758,JOB250002786,JOB250002249
PPLIK2501170017565,JOB250000957,JOB250001059,JOB250002078
PPLIK2501190017622,JOB250001962,JOB250002184,JOB250002235
PPLIK2501200017672,JOB250001813,JOB250002786,JOB250002758
PPBZV2501110016729,NONREF000038,JOB250001197,NONREF000236
PPLIK2501230018163,JOB250001962,JOB250002235,JOB250001670
PPLIK2501310019025,JOB250001879,JOB250002823,JOB250002813
PPLIK2501310019121,JOB250001059,JOB250000957,JOB250002078
PPBOU2502070019785,NONREF000345,NONREF000318,JOB250001740
PPLIK2501080016406,JOB250001480,JOB250001509,JOB250002250
PPLIK2501080016421,JOB250001331,JOB250001330,JOB250001554
PPBZV2502130020238,JOB250001958,JOB250002147,JOB250002191
PPLIK2501080016427,JOB250002076,JOB250002279,JOB250001931
PPLIK2501080016428,STG250002541,JOB250001687,JOB250000854
PPLIK2501080016429,JOB250000941,JOB250001527,JOB250001120
PPLIK2501080016430,JOB250002279,JOB250002076,JOB250001931
PPLIK2501090016460,JOB250002650,JOB250001071,JOB250001687
PPLIK2501090016466,STG250002541,JOB250001687,JOB250000854
PPLIK2501090016467,JOB250001571,JOB250001508,JOB250001499
PPLIK2501090016527,STG250002541,JOB250001687,JOB250000854
