candidate_id,rank,job_id,score
PPKOU2501080016340,1,JOB250000904,0.6882
PPKOU2501080016340,2,JOB250001440,0.6882
PPKOU2501080016340,3,JOB250001694,0.5627
PPKOU2501080016340,4,JOB250001865,0.4605
PPKOU2501080016340,5,NONREF000013,0.4048
PPKOU2501080016340,6,JOB250002328,0.4024
PPKOU2501080016340,7,JOB250001332,0.3803
PPKOU2501080016340,8,JOB250002637,0.3436
PPKOU2501080016340,9,JOB250001803,0.3436
PPKOU2501080016340,10,NONREF000010,0.3436
PPNIA2501180017611,1,JOB250002380,0.2761
PPNIA2501180017611,2,JOB250001816,0.1998
PPNIA2501180017611,3,JOB250002773,0.1668
PPNIA2501180017611,4,JOB250002191,0.0845
PPNIA2501180017611,5,JOB250000990,0.0813
PPNIA2501180017611,6,JOB250000948,0.0806
PPNIA2501180017611,7,JOB250001547,0.0806
PPNIA2501180017611,8,JOB250002470,0.0784
PPNIA2501180017611,9,JOB250002669,0.0781
PPNIA2501180017611,10,JOB250002827,0.0781
PPLEK2501210017791,1,JOB250001527,0.3414
PPLEK2501210017791,2,JOB250002460,0.3064
PPLEK2501210017791,3,JOB250000941,0.2972
PPLEK2501210017791,4,JOB250002075,0.2501
PPLEK2501210017791,5,JOB250002259,0.2501
PPLEK2501210017791,6,JOB250002151,0.2501
PPLEK2501210017791,7,JOB250001012,0.2501
PPLEK2501210017791,8,JOB250001120,0.2501
PPLEK2501210017791,9,NONREF000250,0.2299
PPLEK2501210017791,10,JOB250002338,0.2299
PPBOU2501100016705,1,JOB250001436,0.5218
PPBOU2501100016705,2,JOB250000984,0.5218
PPBOU2501100016705,3,JOB250002153,0.5218
PPBOU2501100016705,4,JOB250001541,0.5218
PPBOU2501100016705,5,JOB250002514,0.5218
PPBOU2501100016705,6,JOB250000999,0.5218
PPBOU2501100016705,7,JOB250002378,0.5218
PPBOU2501100016705,8,JOB250002299,0.5218
PPBOU2501100016705,9,JOB250001885,0.4902
PPBOU2501100016705,10,JOB250001835,0.471
PPBOU2501170017448,1,JOB250000852,0.6499
PPBOU2501170017448,2,JOB250001283,0.5975
PPBOU2501170017448,3,JOB250002431,0.2426
PPBOU2501170017448,4,JOB250001397,0.2155
PPBOU2501170017448,5,JOB250002705,0.2079
PPBOU2501170017448,6,JOB250001959,0.2064
PPBOU2501170017448,7,JOB250002475,0.1973
PPBOU2501170017448,8,JOB260003534,0.1828
PPBOU2501170017448,9,JOB250001944,0.1666
PPBOU2501170017448,10,JOB250002186,0.163
PPPNR2501180017592,1,NONREF000130,0.2684
PPPNR2501180017592,2,JOB260003580,0.207
PPPNR2501180017592,3,JOB260003632,0.1796
PPPNR2501180017592,4,JOB250002595,0.1745
PPPNR2501180017592,5,JOB250002255,0.1595
PPPNR2501180017592,6,NONREF000316,0.1595
PPPNR2501180017592,7,JOB250001513,0.1595
PPPNR2501180017592,8,JOB250001539,0.1595
PPPNR2501180017592,9,JOB250001749,0.1595
PPPNR2501180017592,10,JOB250002146,0.1595
PPBOU2501110016712,1,JOB250000874,0.5916
PPBOU2501110016712,2,JOB250000926,0.3331
PPBOU2501110016712,3,JOB250001215,0.3331
PPBOU2501110016712,4,NONREF000152,0.3331
PPBOU2501110016712,5,NONREF000151,0.3331
PPBOU2501110016712,6,JOB250001686,0.3152
PPBOU2501110016712,7,JOB250002042,0.3152
PPBOU2501110016712,8,JOB250001405,0.3152
PPBOU2501110016712,9,JOB250001734,0.3152
PPBOU2501110016712,10,JOB250001913,0.2914
PPBOU2501140017103,1,JOB250001435,0.3377
PPBOU2501140017103,2,JOB250002158,0.3377
PPBOU2501140017103,3,JOB250001524,0.3377
PPBOU2501140017103,4,JOB250000886,0.3377
PPBOU2501140017103,5,JOB250002230,0.3377
PPBOU2501140017103,6,JOB250002563,0.3377
PPBOU2501140017103,7,NONREF000010,0.3024
PPBOU2501140017103,8,JOB250002637,0.3024
PPBOU2501140017103,9,JOB250001803,0.3024
PPBOU2501140017103,10,JOB250001296,0.2885
PPPOO2501130016908,1,JOB250001331,0.4308
PPPOO2501130016908,2,JOB250001330,0.4308
PPPOO2501130016908,3,JOB250001821,0.3418
PPPOO2501130016908,4,JOB250002400,0.3377
PPPOO2501130016908,5,JOB250001554,0.3377
PPPOO2501130016908,6,JOB250001161,0.3377
PPPOO2501130016908,7,JOB250002337,0.3377
PPPOO2501130016908,8,JOB250001549,0.3377
PPPOO2501130016908,9,JOB250001204,0.3066
PPPOO2501130016908,10,NONREF000172,0.2829
PPPOO2501280018650,1,JOB260003569,0.0123
PPPOO2501280018650,2,JOB250002769,0.0085
PPPOO2501280018650,3,JOB260003537,0.0054
PPPOO2501280018650,4,JOB260003538,0.0047
PPPOO2501280018650,5,JOB250002146,0.0046
PPPOO2501280018650,6,JOB250001539,0.0046
PPPOO2501280018650,7,JOB250001513,0.0046
PPPOO2501280018650,8,JOB250002255,0.0046
PPPOO2501280018650,9,JOB250001749,0.0046
PPPOO2501280018650,10,NONREF000316,0.0046
PPPOO2501240018325,1,JOB250002774,0.3023
PPPOO2501240018325,2,JOB250001263,0.3005
PPPOO2501240018325,3,JOB250002162,0.2702
PPPOO2501240018325,4,JOB250002117,0.1766
PPPOO2501240018325,5,JOB250002721,0.1537
PPPOO2501240018325,6,JOB260003616,0.152
PPPOO2501240018325,7,JOB250002566,0.1487
PPPOO2501240018325,8,JOB250001754,0.1434
PPPOO2501240018325,9,JOB250002072,0.1337
PPPOO2501240018325,10,JOB250001751,0.1243
PPBZV2501280018593,1,JOB250000999,0.6138
PPBZV2501280018593,2,JOB250002299,0.6138
PPBZV2501280018593,3,JOB250002514,0.6138
PPBZV2501280018593,4,JOB250001436,0.6138
PPBZV2501280018593,5,JOB250002153,0.6138
PPBZV2501280018593,6,JOB250002378,0.6138
PPBZV2501280018593,7,JOB250001541,0.6138
PPBZV2501280018593,8,JOB250000984,0.6138
PPBZV2501280018593,9,JOB250001885,0.5666
PPBZV2501280018593,10,JOB250001835,0.5445
PPPNR2501190017629,1,JOB250001885,0.5389
PPPNR2501190017629,2,JOB250001835,0.5179
PPPNR2501190017629,3,JOB250002405,0.4915
PPPNR2501190017629,4,JOB250001767,0.4498
PPPNR2501190017629,5,JOB250001267,0.4498
PPPNR2501190017629,6,NONREF000266,0.4498
PPPNR2501190017629,7,NONREF000262,0.4498
PPPNR2501190017629,8,NONREF000292,0.4498
PPPNR2501190017629,9,NONREF000309,0.4498
PPPNR2501190017629,10,NONREF000351,0.4498
PPAUT2501160017370,1,NONREF000130,0.3536
PPAUT2501160017370,2,JOB250002595,0.2299
PPAUT2501160017370,3,JOB250001749,0.2079
PPAUT2501160017370,4,JOB250001513,0.2079
PPAUT2501160017370,5,NONREF000316,0.2079
PPAUT2501160017370,6,JOB250002255,0.2079
PPAUT2501160017370,7,JOB250002146,0.2079
PPAUT2501160017370,8,JOB250001539,0.2079
PPAUT2501160017370,9,NONREF000345,0.1519
PPAUT2501160017370,10,NONREF000318,0.1519
PPPOO2501230018134,1,JOB250001296,0.3292
PPPOO2501230018134,2,JOB250002399,0.2586
PPPOO2501230018134,3,JOB250002228,0.2586
PPPOO2501230018134,4,JOB250002287,0.2586
PPPOO2501230018134,5,JOB250002536,0.2586
PPPOO2501230018134,6,JOB250000929,0.2586
PPPOO2501230018134,7,JOB250001664,0.2586
PPPOO2501230018134,8,JOB250002755,0.2586
PPPOO2501230018134,9,JOB250001110,0.2586
PPPOO2501230018134,10,JOB250001162,0.2586
PPPOO2501230018139,1,JOB250001042,0.5154
PPPOO2501230018139,2,JOB250002497,0.5154
PPPOO2501230018139,3,JOB250002053,0.5154
PPPOO2501230018139,4,JOB250002309,0.2787
PPPOO2501230018139,5,JOB250002054,0.278
PPPOO2501230018139,6,JOB250002305,0.2473
PPPOO2501230018139,7,JOB250001712,0.2473
PPPOO2501230018139,8,JOB250001034,0.1993
PPPOO2501230018139,9,JOB250001641,0.1993
PPPOO2501230018139,10,JOB260003579,0.1799
PPPOO2501310019001,1,JOB250002381,0.3539
PPPOO2501310019001,2,JOB250002319,0.3402
PPPOO2501310019001,3,JOB250001873,0.327
PPPOO2501310019001,4,JOB250000864,0.2619
PPPOO2501310019001,5,JOB250000866,0.2444
PPPOO2501310019001,6,JOB250002121,0.2359
PPPOO2501310019001,7,JOB250002367,0.2326
PPPOO2501310019001,8,JOB250002127,0.2278
PPPOO2501310019001,9,JOB250002615,0.2238
PPPOO2501310019001,10,JOB250002125,0.2139
PPPOO2501310019037,1,NONREF000236,0.253
PPPOO2501310019037,2,JOB250002471,0.2503
PPPOO2501310019037,3,JOB250001197,0.2429
PPPOO2501310019037,4,NONREF000038,0.2346
PPPOO2501310019037,5,JOB250001203,0.2282
PPPOO2501310019037,6,JOB250001206,0.2222
PPPOO2501310019037,7,JOB250002703,0.2077
PPPOO2501310019037,8,JOB250001200,0.2041
PPPOO2501310019037,9,JOB250002793,0.2011
PPPOO2501310019037,10,JOB250002039,0.1983
PPPLA2501270018500,1,NONREF000130,0.345
PPPLA2501270018500,2,JOB250002595,0.2243
PPPLA2501270018500,3,JOB250001539,0.2028
PPPLA2501270018500,4,NONREF000316,0.2028
PPPLA2501270018500,5,JOB250001749,0.2028
PPPLA2501270018500,6,JOB250002255,0.2028
PPPLA2501270018500,7,JOB250001513,0.2028
PPPLA2501270018500,8,JOB250002146,0.2028
PPPLA2501270018500,9,NONREF000345,0.1482
PPPLA2501270018500,10,NONREF000318,0.1482
PPCUV2501160017297,1,NONREF000191,0.3373
PPCUV2501160017297,2,JOB250002635,0.3373
PPCUV2501160017297,3,JOB250001556,0.3373
PPCUV2501160017297,4,NONREF000250,0.3111
PPCUV2501160017297,5,JOB250002338,0.3111
PPCUV2501160017297,6,JOB250001627,0.3111
PPCUV2501160017297,7,JOB250000975,0.3111
PPCUV2501160017297,8,JOB250001493,0.3111
PPCUV2501160017297,9,JOB250002498,0.3004
PPCUV2501160017297,10,JOB250001558,0.2748
PPCUV2501160017318,1,JOB250001556,0.3271
PPCUV2501160017318,2,NONREF000191,0.3271
PPCUV2501160017318,3,JOB250002635,0.3271
PPCUV2501160017318,4,NONREF000250,0.3017
PPCUV2501160017318,5,JOB250001627,0.3017
PPCUV2501160017318,6,JOB250001493,0.3017
PPCUV2501160017318,7,JOB250000975,0.3017
PPCUV2501160017318,8,JOB250002338,0.3017
PPCUV2501160017318,9,JOB250002498,0.2913
PPCUV2501160017318,10,JOB250001897,0.2665
PPCUV2501160017335,1,NONREF000191,0.3141
PPCUV2501160017335,2,JOB250002635,0.3141
