id_offre,titre,entreprise,ville,domaine,type_contrat,niveau_etudes_min,experience_min,competences_requises,description
JOB250002292,Chef de salle,242 Tacos Street,Brazzaville,Hôtellerie - Restauration,CDD,,,,Chef de salle Secteur : Hôtellerie - Restauration.
JOB250002293,Agent Polyvalent,242 Tacos Street,Brazzaville,Hôtellerie - Restauration,CDD,,,,Agent Polyvalent Secteur : Hôtellerie - Restauration.
JOB250002294,Cuisinier,242 Tacos Street,Brazzaville,Hôtellerie - Restauration,CDD,,,,Cuisinier  Secteur : Hôtellerie - Restauration.
JOB250002295,Manager,242 Tacos Street,Brazzaville,Hôtellerie - Restauration,CDD,,,,Manager Secteur : Hôtellerie - Restauration.
JOB250002297,CAISSIER,242 Tacos Street,Brazzaville,Hôtellerie - Restauration,CDD,,,,CAISSIER Secteur : Hôtellerie - Restauration.
JOB250002644,Responsable d'exploitation,3C Logistique,Brazzaville,"Pétrole, Gaz & Hydrocarbures",CDD,,,,"Responsable d'exploitation Secteur : Pétrole, Gaz & Hydrocarbures."
JOB250002645,Chauffeur Semi-Remorque,3C Logistique,Brazzaville,"Transport, Logistique & Supply Chain",CDD,,,supply chain,"Chauffeur Semi-Remorque Secteur : Transport, Logistique & Supply Chain."
JOB250002742,Comptable senior,3C Logistique,Brazzaville,"Finance, Banque, Assurance, Comptabilité & Fiscalité",CDD,,,comptabilité; fiscalité,"Comptable senior  Secteur : Finance, Banque, Assurance, Comptabilité & Fiscalité."
JOB250002743,Comptable senior,3C Logistique,Brazzaville,"Finance, Banque, Assurance, Comptabilité & Fiscalité",CDD,,,comptabilité; fiscalité,"Comptable senior  Secteur : Finance, Banque, Assurance, Comptabilité & Fiscalité."
JOB250002438,secrétaire bureautique,ADIE SOLUTIONS,Brazzaville,"Conseil, Stratégie & Gestion des Ressources Humaines",CDD,,,gestion des ressources humaines,"secrétaire bureautique Secteur : Conseil, Stratégie & Gestion des Ressources Humaines."
JOB250002440,Gestionnaire,ADIE SOLUTIONS,Brazzaville,"Commerce, Vente, Marketing & Distribution",CDD,,,vente,"Gestionnaire  Secteur : Commerce, Vente, Marketing & Distribution."
JOB250002528,CAISSIER,ADIE SOLUTIONS,Brazzaville,"Commerce, Vente, Marketing & Distribution",CDD,,,vente,"CAISSIER Secteur : Commerce, Vente, Marketing & Distribution."
JOB250002531,Gestionnaire,ADIE SOLUTIONS,Brazzaville,"Commerce, Vente, Marketing & Distribution",CDD,,,vente,"Gestionnaire  Secteur : Commerce, Vente, Marketing & Distribution."
JOB250002532,secrétaire bureautique,ADIE SOLUTIONS,Brazzaville,"Conseil, Stratégie & Gestion des Ressources Humaines",CDD,,,gestion des ressources humaines,"secrétaire bureautique Secteur : Conseil, Stratégie & Gestion des Ressources Humaines."
JOB250002533,Gestionnaire de stocks,ADIE SOLUTIONS,Brazzaville,"Commerce, Vente, Marketing & Distribution",CDD,,,vente,"Gestionnaire de stocks Secteur : Commerce, Vente, Marketing & Distribution."
JOB250001768,Agent Exploitation Escale,AERCO (Aéroports du Congo),Brazzaville,"Transport, Logistique & Supply Chain",CDD,,,supply chain,"Agent Exploitation Escale Secteur : Transport, Logistique & Supply Chain."
JOB250001769,Agent Exploitation Aérogare,AERCO (Aéroports du Congo),Brazzaville,"Transport, Logistique & Supply Chain",CDD,,,supply chain,"Agent Exploitation Aérogare Secteur : Transport, Logistique & Supply Chain."
JOB250000969,coordinateur des operations logistiques,AFRICA GLOBAL LOGISTICS CONGO (AGL),Pointe-Noire,"Transport, Logistique & Supply Chain",CDD,,,supply chain,"coordinateur des operations logistiques Secteur : Transport, Logistique & Supply Chain."
JOB250001179,CAISSIER,AFRICA GLOBAL LOGISTICS CONGO (AGL),Pointe-Noire,"Transport, Logistique & Supply Chain",CDD,,,supply chain,"CAISSIER Secteur : Transport, Logistique & Supply Chain."
