id_offre,titre,entreprise,ville,domaine,type_contrat,niveau_etudes_min,experience_min,salaire_fcfa,competences_requises,soft_skills,description
O0001,Technicien agricole,Cabinet Kouilou,Pointe-Noire,Agriculture / Agroalimentaire,CDI,Master (BAC+5),3,500000,transformation alimentaire; élevage; pêche; gestion coopérative; agronomie; maraîchage,rigueur; esprit d'analyse,"Cabinet Kouilou recrute un(e) Technicien agricole à Pointe-Noire en CDI. Missions : intervenir sur des activités de agriculture / agroalimentaire et contribuer aux objectifs de l'équipe. Profil recherché : Master (BAC+5) minimum, au moins 3 an(s) d'expérience. Compétences requises : transformation alimentaire, élevage, pêche, gestion coopérative, agronomie, maraîchage. Qualités attendues : rigueur, esprit d'analyse."
O0002,Encadreur pédagogique,Agence Plateaux,Pointe-Noire,Éducation / Formation,CDI,Licence (BAC+3),3,900000,enseignement; conception de programmes; alphabétisation; pédagogie,rigueur; travail en équipe,"Agence Plateaux recrute un(e) Encadreur pédagogique à Pointe-Noire en CDI. Missions : intervenir sur des activités de éducation / formation et contribuer aux objectifs de l'équipe. Profil recherché : Licence (BAC+3) minimum, au moins 3 an(s) d'expérience. Compétences requises : enseignement, conception de programmes, alphabétisation, pédagogie. Qualités attendues : rigueur, travail en équipe."
O0003,Pharmacien assistant,Société Congo Services,Brazzaville,Santé,CDD,BAC+2 (BTS/DUT),2,500000,imagerie médicale; pharmacie; soins infirmiers; laboratoire médical,travail en équipe; communication,"Société Congo Services recrute un(e) Pharmacien assistant à Brazzaville en CDD. Missions : intervenir sur des activités de santé et contribuer aux objectifs de l'équipe. Profil recherché : BAC+2 (BTS/DUT) minimum, au moins 2 an(s) d'expérience. Compétences requises : imagerie médicale, pharmacie, soins infirmiers, laboratoire médical. Qualités attendues : travail en équipe, communication."
O0004,Ingénieur génie civil,Agence Mayombe,Ouesso,BTP / Construction,Consultance,Sans diplôme,1,150000,conduite de travaux; dessin technique; autocad; maçonnerie; métré,sens de l'organisation; rigueur,"Agence Mayombe recrute un(e) Ingénieur génie civil à Ouesso en Consultance. Missions : intervenir sur des activités de btp / construction et contribuer aux objectifs de l'équipe. Profil recherché : Sans diplôme minimum, au moins 1 an(s) d'expérience. Compétences requises : conduite de travaux, dessin technique, autocad, maçonnerie, métré. Qualités attendues : sens de l'organisation, rigueur."
O0005,Enseignant,Société Mayombe,Kinkala,Éducation / Formation,Consultance,Master (BAC+5),5,200000,pédagogie; formation professionnelle; conception de programmes; enseignement; alphabétisation,adaptabilité; leadership,"Société Mayombe recrute un(e) Enseignant à Kinkala en Consultance. Missions : intervenir sur des activités de éducation / formation et contribuer aux objectifs de l'équipe. Profil recherché : Master (BAC+5) minimum, au moins 5 an(s) d'expérience. Compétences requises : pédagogie, formation professionnelle, conception de programmes, enseignement, alphabétisation. Qualités attendues : adaptabilité, leadership."
O0006,Auditeur junior,Cabinet Kouilou,Brazzaville,Banque / Finance,CDD,BAC,8,300000,gestion des risques; microfinance; contrôle de gestion; ohada,prise d'initiative; gestion du temps,"Cabinet Kouilou recrute un(e) Auditeur junior à Brazzaville en CDD. Missions : intervenir sur des activités de banque / finance et contribuer aux objectifs de l'équipe. Profil recherché : BAC minimum, au moins 8 an(s) d'expérience. Compétences requises : gestion des risques, microfinance, contrôle de gestion, ohada. Qualités attendues : prise d'initiative, gestion du temps."
O0007,Chargé de clientèle,Agence Plateaux,Pointe-Noire,Banque / Finance,CDI,Licence (BAC+3),3,700000,comptabilité; fiscalité; analyse financière; conformité bancaire,rigueur; communication,"Agence Plateaux recrute un(e) Chargé de clientèle à Pointe-Noire en CDI. Missions : intervenir sur des activités de banque / finance et contribuer aux objectifs de l'équipe. Profil recherché : Licence (BAC+3) minimum, au moins 3 an(s) d'expérience. Compétences requises : comptabilité, fiscalité, analyse financière, conformité bancaire. Qualités attendues : rigueur, communication."
O0008,Chef d'exploitation,Groupe Alima,Brazzaville,Agriculture / Agroalimentaire,CDD,BAC+2 (BTS/DUT),3,150000,gestion coopérative; maraîchage; élevage; transformation alimentaire; pêche; sylviculture,sens de l'organisation; esprit d'analyse,"Groupe Alima recrute un(e) Chef d'exploitation à Brazzaville en CDD. Missions : intervenir sur des activités de agriculture / agroalimentaire et contribuer aux objectifs de l'équipe. Profil recherché : BAC+2 (BTS/DUT) minimum, au moins 3 an(s) d'expérience. Compétences requises : gestion coopérative, maraîchage, élevage, transformation alimentaire, pêche, sylviculture. Qualités attendues : sens de l'organisation, esprit d'analyse."
O0009,Dessinateur projeteur,Compagnie Niari,Pointe-Noire,BTP / Construction,CDI,BAC,5,200000,béton armé; dessin technique; autocad; maçonnerie,gestion du temps; leadership,"Compagnie Niari recrute un(e) Dessinateur projeteur à Pointe-Noire en CDI. Missions : intervenir sur des activités de btp / construction et contribuer aux objectifs de l'équipe. Profil recherché : BAC minimum, au moins 5 an(s) d'expérience. Compétences requises : béton armé, dessin technique, autocad, maçonnerie. Qualités attendues : gestion du temps, leadership."
O0010,Chef d'exploitation,Société Mayombe,Nkayi,Agriculture / Agroalimentaire,CDI,BAC+2 (BTS/DUT),2,700000,gestion coopérative; agronomie; maraîchage; transformation alimentaire,gestion du temps; esprit d'analyse,"Société Mayombe recrute un(e) Chef d'exploitation à Nkayi en CDI. Missions : intervenir sur des activités de agriculture / agroalimentaire et contribuer aux objectifs de l'équipe. Profil recherché : BAC+2 (BTS/DUT) minimum, au moins 2 an(s) d'expérience. Compétences requises : gestion coopérative, agronomie, maraîchage, transformation alimentaire. Qualités attendues : gestion du temps, esprit d'analyse."
